Municipio,Tensao
Simões Filho ,220/127
Sítio do Mato ,380/220
Sítio do Quinto ,220/127
Sobradinho ,380/220
Souto Soares ,380/220
Tabocas do Brejo Velho ,380/220
Tanhaçu ,380/220
Tanque Novo ,380/220
Tanquinho ,380/220
Taperoá ,380/220
Tapiramutá ,380/220
Teixeira de Freitas ,380/220
Teodoro Sampaio ,220/127
Teofilândia ,380/220
Teolândia,380/220
Terra Nova ,220/127
Tremedal,380/220
Tucano ,380/220
Uauá ,380/220
Ubaíra ,220/127
Ubaitaba ,220/127
Ubatã ,380/220
Uibaí ,380/220
Umburanas ,380/220
Una ,380/220
Urandi ,380/220
Uruçuca,220/127
Utinga ,380/220
Valença ,380/220
Valente ,380/220
Várzea da Roça ,380/220
Várzea do Poço ,380/220
Várzea Nova ,380/220
Varzedo,220/127
Vera Cruz ,220/127
Vereda ,380/632
Vitória da Conquista ,380/220
Wagner ,380/220
Wanderley ,380/220
Wenceslau Guimarães ,380/220
Xique-Xique ,380/220
